005.zip	005
10yard.zip	10-Yard Fight (World, set 1)
10yard85.zip	10-Yard Fight '85 (US, Taito license)
10yardj.zip	10-Yard Fight (Japan)
11beat.zip	Eleven Beat
18w.zip	18 Wheeler (set 1)
18w2.zip	18 Wheeler (set 2)
18wheelr.zip	18 Wheeler (JPN)
18wheels.zip	18 Wheeler (standard)
18wheelu.zip	18 Wheeler (upright)
1941.zip	1941 - Counter Attack (World)
1941j.zip	1941 - Counter Attack (Japan)
1941r1.zip	1941: Counter Attack (World)
1941u.zip	1941: Counter Attack (USA 900227)
1942.zip	1942 (set 1)
1942a.zip	1942 (set 2)
1942abl.zip	1942 (Revision A, bootleg)
1942b.zip	1942 (set 3)
1942h.zip	42
1942p.zip	1942 (prototype)
1942w.zip	1942 (Williams Electronics license)
1943.zip	1943 - The Battle of Midway (US)
1943b.zip	1943: Battle of Midway (bootleg, hack of Japan set)
1943j.zip	1943 - The Battle of Midway (Japan)
1943ja.zip	1943: Midway Kaisen (Japan)
1943kai.zip	1943 Kai - Midway Kaisen
1943mii.zip	1943 - The Battle of Midway Mark II (US)
1943u.zip	1943: The Battle of Midway (US)
1944.zip	1944: The Loop Master (USA 000620)
1944d.zip	1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)
1944j.zip	1944: The Loop Master (Japan 000620)
1945kiii.zip	1945k III
19in1.zip	19 in 1 MAME bootleg
19xx.zip	19XX: The War Against Destiny (Euro 960104)
19xxa.zip	19XX: The War Against Destiny (Asia 960104)
19xxar1.zip	19XX: The War Against Destiny (Asia 951207)
19xxb.zip	19XX: The War Against Destiny (Brazil 951218)
19xxd.zip	19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)
19xxh.zip	19XX: The War Against Destiny (Hispanic 951218)
19xxj.zip	19XX: The War Against Destiny (Japan 960104, yellow case)
19xxjr1.zip	19XX: The War Against Destiny (Japan 951225)
19xxjr2.zip	19XX: The War Against Destiny (Japan 951207)
19xxu.zip	19XX: The War Against Destiny (USA 951207)
1on1gov.zip	1 on 1 Government (Japan)
2020bb.zip	2020 Super Baseball (set 1)
2020bba.zip	2020 Super Baseball (set 2)
2020bbh.zip	2020 Super Baseball (set 2)
20pacgal.zip	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)
20pacgalr0.zip	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00)
